ReviewTitle,ReviewBody,ReviewStar,Product
"Great product in its price segment
","Great product in its price segment. Good sound quality. Very compatible with both PC and mobile. Go for it without concerns.
",4,Sennheiser CX 6.0BT
"Bad produt sold
","I bought this product and returned it in 3 days as it will not connect after pairing. I got the replacement and the same after 24 days. Waste of money
",1,boAt Rockerz 255
"After getting this product, I got to know something ...
","After getting this product, I got to know something that was surprising. As I am having Lumiaq, it supports Cortana Digital Assistant by just pressing down the button on the headset for long time. It was a shock to me as I am a frequent  user of Cortana. Thank you Sennheiser! and Thank you amazon for getting me this product on time.!!!!!
",4,Sennheiser CX 6.0BT
"Good product ,fast delivery
","Average product , fast delivery I got this item with in 3 days  ,nice to use, average sound quality ,I buy this for my gf
",2,JBL T110BT
"One side earphone  is not working
","Don't purchase it because,after one month Right side earphone is not working
",2,boAt Rockerz 255
"Nice
","Nice product.
",4,boAt Rockerz 255
"CX 275s 1499. Amazon sale.
","A very powerful, distortion-free audio with great bass.  Inline remote control and microphone for mobile devices. Comfortable, secure, lightweight.
",4,Sennheiser CX 6.0BT
"Battery backup is very poor
","Battery backup is very poorJust one day for full charging..😣
",2,JBL T110BT
"Dissatisfied
","Very dissatisfied. I had another one. But the sound quality of the new one is very bad.
",1,Sennheiser CX 6.0BT
"Awesome Product
","Simply awesome..
",5,Sennheiser CX 6.0BT
"worst quality for Zym
","please donnot buy this product, I found this is worst quality product , I did not use 5 months .
",1,JBL T110BT
"This earphone is loosing their sound and base as i ...
","This earphone is loosing their sound and base as i am using from 20 days only.. The base is very low now... can any one tell me how i can fixed this problem.
",2,Sennheiser CX 6.0BT
"Tremendous
","Tremendous sound quality
",5,Sennheiser CX 6.0BT
"worst product from Amazon
","It stopped working after 2 month's.Very much disappointed for getting a fake one from Amazon
",1,boAt Rockerz 255
"But if Ur not a bass lover
","Less bass with more clarity. Idle for long listeners and not recommended for bass lovers. You won't stress out even after listening for hours. Am using this from past 4 years and I don't see any wear n tare on it and also because I handled it carefully
",4,Sennheiser CX 6.0BT
"Not satisfied
","Average quality
",4,boAt Rockerz 255
"Best in range
","Nice
",5,Sennheiser CX 6.0BT
"Not Connect to Mobile
","Not Connect to Mobile
",1,JBL T110BT
"Satisfactory and recommended for good sound quality, noise cancellation, comfort.
","Sound is better at this range compared to other brands. But the rubber at base of head phone, jack are started tearing
",4,Sennheiser CX 6.0BT
"Great product 👍
","Sound is crystal clear even in crowded area. Great product for phone calls.
",5,Sennheiser CX 6.0BT
"good Bluetooth earphone
","best sound quality
",5,JBL T205BT
"Awesome Product.. best in this price Range.
","Sound Quality -4/5Batter -3/5Durability, make -- 4/5
",5,boAt Rockerz 255
"Not upto the mark
","Sound clarity is good ....But got one replacement within 3months for cause of less sound in right ear phone.
",3,Sennheiser CX 6.0BT
"love it...
","good product but... little bit improvement in .. design but on the basis of sound quality awesome.... go for it guys ...
",4,boAt Rockerz 255
"Replacement required for defective product ie.earpiece of Seinheiser company
","I am looking for a replacement of the product, within six /6 months, a piece broke of the mouth where you attach it to the phone & stayed stuck inside it so that I couldn't put or use any other earpiece even in place of your Seinheiser one for long time till I could take it to a repair hub where they removed it, but as it is broken, can't use it anymore, how is this possible that a high-end claimed to be high quality earpiece costing about 1500 bucks breaks within few months? Please arrange for a replacement ASAP immediately without fail from the company's side.
",1,Sennheiser CX 6.0BT
"😍
","Wounder full product
",5,JBL T110BT
"Go for it....
","Sprb sound quality... Bass🔥....
",5,boAt Rockerz 255
"Not working after 5 months of use.
","I bought these earphones in the third week of January 2019. They worked great for more than 5 months and now they have stopped working from 1st July, 2019. I was just listening to songs and a weird sound 'chhuchik' came from right earphone and it is not turning on from then.
",3,boAt Rockerz 255
